Address,Postcode,Property Type,Model,Managed by,Local Authority,Region,Count,Tenancy Type,Status
"35 Pole Lane, Darwen, BB3 3LD",BB3 3LD,Bungalow,Lease,Superior Landlord,Blackburn with Darwen,North West,1,Single,Active
"1 Alexander House Bolton Road, Bradford West Yorkshire BD1 4DR",BD1 4DR,Flat,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
"127 Fenby Avenue, Dudley Hill, Bradford, BD4 9LJ",BD4 9LJ,Bungalow,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
"16 Loweswater Avenue, Bradford, BD6 2TZ",BD6 2TZ,Bungalow,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
"1A Silver Birch Dr, Wyke, Bradford BD12 9ES",BD12 9ES,Bungalow,Lease,Ling Trust,Bradford,Yorkshire,1,Shared,Active
"1A Silver Birch Dr, Wyke, Bradford BD12 9ES",BD12 9ES,Bungalow,Lease,Ling Trust,Bradford,Yorkshire,1,Shared,Active
"21 Castle Road, Keighley, Bradford, BD21 2ST",BD21 2ST,House,Lease,Ling Trust,Bradford,Yorkshire,1,Shared,Active
"21 Castle Road, Keighley, Bradford, BD21 2ST",BD21 2ST,House,Lease,Ling Trust,Bradford,Yorkshire,1,Shared,Active
"21 Castle Road, Keighley, Bradford, BD21 2ST",BD21 2ST,House,Lease,Ling Trust,Bradford,Yorkshire,1,Shared,Active
"2a Brearcliffe Street, Bradford, BD6 2LD",BD6 2LD,Bungalow,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
"34 Blakehill Terrace, Bradford, BD2 3JS",BD2 3JS,House,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
"4 Alexander House Bolton Road, Bradford West Yorkshire BD1 4DR",BD1 4DR,Flat,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
"43 Longhouse Lane, Denholme, Bradford, BD13 4NQ",BD13 4NQ,House,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
"52 Oakdale Drive, Bradford, BD10 0JF",BD10 0JF,Bungalow,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
