Post codes,unnamed (1),Upcoming tenancies
Saffron Lane, LE2 6TD,,
Samuel Way, CW1 4SH,,
Parkfield Close, CV2 4NH,,
Falstaff Court, CV37 6RB,,
Celadine Road, CV2 1SX,,
Lodge Road, CV37 9DW,,
Hallfield Hall, SK1 4DA,,
Woodlands Road, LS15 7DW,,
Morlands Road, S14 1SY,,
Merton Road, S9 1ND,,
Bronshill Lodge, TQ1 3HD,,
137 Harrison Road, LE4 6NP,,
Station Road, EN10 7AN,,
Faverolle Green, EN8 0UJ,,
Orchard Lea, SG13 7NY,,
Aylsham Road, EN11 0JG,,
Fairfield House, EN10 6JN,,
St Michaels Road, EN10 7JN,,
Sheredes Drive, EN11 8LJ,,
John Gaffney House, BD9 5BU,,
St Abb's Way, BD6 1EJ,,
