Address,Post Codes,Property Type,Model,Managed by,Local Authority,Region,Count,Tenancy Type,Status
"28 Platt Ave, Sandbach, CW11 1DE",CW11 1DE,House,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"36 Samuel Armstrong Way, Crewe, CW1 4SH",CW1 4SH,Bungalow,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"78 Coleridge Way, Crewe, Cheshire, CW1 5LE",CW1 5LE,Bungalow,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"8 Avon Drive, Crewe, CW1 5NJ",CW1 5NJ,Bungalow,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"9 Clevedon Close, Macclesfield, Cheshire, SK11 8LS",SK11 8LS,Bungalow,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"Flat 1, Bradshaw House, 21 Lawton Street, Congleton, CW12 1RU",CW12 1RU,Flat,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"Flat 2, Bradshaw House, 21 Lawton Street, Congleton, CW12 1RU",CW12 1RU,Flat,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"Flat 3, Bradshaw House, 21 Lawton Street, Congleton, CW12 1RU",CW12 1RU,Flat,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"Flat 4, Bradshaw House, 21 Lawton Street, Congleton, CW12 1RU",CW12 1RU,Flat,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"Flat 5, Bradshaw House, 21 Lawton Street, Congleton, CW12 1RU",CW12 1RU,Flat,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"Flat 6, Bradshaw House, 21 Lawton Street, Congleton, CW12 1RU",CW12 1RU,Flat,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"2 Malvern Close, Crewe, CW2 5HH",CW2 5HH,Bungalow,Lease,Lets for Life,Cheshire East,North West,0,Single,Upcoming
"27 Westbourne Avenue, Crewe, CW1 3QP",CW1 3QP,Bungalow,Lease,Lets for Life,Cheshire East,North West,0,Single,Upcoming
"29 Micklewright Avenue, Crewe, Cheshire, CW1 4DF",CW1 4DF,House,Lease,Lets for Life,Cheshire East,North West,0,Single,Upcoming
"5 Valley Road, Macclesfield, SK11 8NX",SK11 8NX,Bungalow,Lease,Lets for Life,Cheshire East,North West,0,Shared,Upcoming
"222 High Street, Winsford,  CW7 2AU",CW7 2AU,Bungalow,Lease,Lets for Life,Cheshire West and Chester,North West,1,Single,Active
"23 Wellswood Road, Ellesmere Port, CH66 1JX",CH66 1JX,Bungalow,Lease,Lets for Life,Cheshire West and Chester,North West,1,Single,Active
"Flat 1, 12 Phillip Street, Hoole, Cheshire, CH2 3BY",CH2 3BY,Flat,Lease,Lets for Life,Cheshire West and Chester,North West,1,Single,Active
"Flat 2, 12 Phillip Street, Hoole, Cheshire, CH2 3BY",CH2 3BY,Flat,Lease,Lets for Life,Cheshire West and Chester,North West,1,Single,Active
"Flat A, 8 Gresford Avenue, Hoole, Chester, Cheshire, CH2 3QA",CH2 3QA,Flat,Lease,Lets for Life,Cheshire West and Chester,North West,1,Single,Active
"Flat B, 8 Gresford Avenue, Hoole, Chester, Cheshire, CH2 3QA",CH2 3QA,Flat,Lease,Lets for Life,Cheshire West and Chester,North West,1,Single,Active
"1 Celandine Road, Coventry, CV2 1SX",CV2 1SX,House,Lease,Lets for Life,Coventry,West Midlands,1,Single,Active
"6 Parkfield Close, Coventry, CV2 4NH",CV2 4NH,House,Lease,Lets for Life,Coventry,West Midlands,1,Single,Active
"1 Starling Close, Runcorn, WA7 6EU",WA7 6EU,Bungalow,Lease,Lets for Life,Halton,North West,1,Single,Active
"23a Lessingham Road, Widnes, WA8 9FU",WA8 9FU,House,Lease,Lets for Life,Halton,North West,1,Shared,Void
"23a Lessingham Road, Widnes, WA8 9FU",WA8 9FU,House,Lease,Lets for Life,Halton,North West,1,Shared,Void
"11 Heather Gardens, Leeds, LS13 4LF",LS13 4LF,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"14 Millbeck Approach, Morley, Leeds, LS27 8WA",LS27 8WA,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"15 Halliday Drive, Leeds, LS12 3PA",LS12 3PA,House,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"18 Oak Road, Garforth, Leeds LS25 1PF",LS25 1PF,House,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"2 Gipsy Lane, Lingwell Rise, Leeds LS11 5TP",LS11 5TP,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"3 Durban Crescent, Leeds, LS11 8AD",LS11 8AD,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,0,Single,Void
"32 Park Spring Gardens, Leeds LS13 4DT",LS13 4DT,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"33 Marlowe Close, Pudsey, LS28 9NT",LS28 9NT,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"4 Gipsy Lane, Lingwell Rise, Leeds LS11 5TP",LS11 5TP,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"45 Swarcliffe Avenue, Leeds, LS14 5LF",LS14 5LF,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"49 Kennerleigh Crescent, Leeds, LS15 8RS",LS15 8RS,House,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"6 Gipsy Lane, Lingwell Rise, Leeds LS11 5TP",LS11 5TP,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"8 Gipsy Lane, Lingwell Rise, Leeds LS11 5TP",LS11 5TP,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Void
"8 Haigh Side Close, Rothwell, Leeds, LS26 0UH",LS26 0UH,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"Gipsy Lane, Lingwell Rise, Leeds LS11 5TP",LS11 5TP,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"Flat 1, 652 Saffron Lane, Leicester, LE2 6TD",LE2 6TD,Flat,Lease,Lets for Life,Leicester,East Midlands,1,Single,Active
"Flat 2, 652 Saffron Lane, Leicester, LE2 6TD",LE2 6TD,Flat,Lease,Lets for Life,Leicester,East Midlands,0,Single,Void
"Flat 3, 652 Saffron Lane, Leicester, LE2 6TD",LE2 6TD,Flat,Lease,Lets for Life,Leicester,East Midlands,0,Single,Void
"Flat 4, 652 Saffron Lane, Leicester, LE2 6TD",LE2 6TD,Flat,Lease,Lets for Life,Leicester,East Midlands,1,Single,Active
"Flat 5, 652 Saffron Lane, Leicester, LE2 6TD",LE2 6TD,Flat,Lease,Lets for Life,Leicester,East Midlands,0,Single,Void
"Flat 6, 652 Saffron Lane, Leicester, LE2 6TD",LE2 6TD,Flat,Lease,Lets for Life,Leicester,East Midlands,0,Single,Void
"2 Rockville Place, Plymouth, PL9 7DG",PL9 7DG,House,Lease,Lets for Life,Plymouth,South West,1,Shared,Active
"2 Rockville Place, Plymouth, PL9 7DG",PL9 7DG,House,Lease,Lets for Life,Plymouth,South West,0,Shared,Void
"2 Rockville Place, Plymouth, PL9 7DG",PL9 7DG,House,Lease,Lets for Life,Plymouth,South West,0,Shared,Void
"30 Duncombe Avenue, Plymouth, PL5 2JS",PL5 2JS,House,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"70 Old Woodlands Road, Crownhill, Plymouth, PL7 3SX",PL5 3SX,Bungalow,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"Flat 1, 2a Rockville Park, Plymouth, PL9 7DG",PL9 7DG,Flat,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"Flat 10, 2a Rockville Park, Plymouth, PL9 7DG",PL9 7DG,Flat,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"Flat 2, 2a Rockville Park, Plymouth, PL9 7DG",PL9 7DG,Flat,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"Flat 3, 2a Rockville Park, Plymouth, PL9 7DG",PL9 7DG,Flat,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"Flat 4, 2a Rockville Park, Plymouth, PL9 7DG",PL9 7DG,Flat,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"Flat 5, 2a Rockville Park, Plymouth, PL9 7DG",PL9 7DG,Flat,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"Flat 6, 2a Rockville Park, Plymouth, PL9 7DG",PL9 7DG,Flat,Lease,Lets for Life,Plymouth,South West,1,Joint,Active
"Flat 8, 2a Rockville Park, Plymouth, PL9 7DG",PL9 7DG,Flat,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"Flat 9, 2a Rockville Park, Plymouth, PL9 7DG",PL9 7DG,Flat,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"1a Foxhill Place, Sheffield, S6 1GE",S6 1GE,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"1a Foxhill Place, Sheffield, S6 1GE",S6 1GE,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"23 Sandby Drive, Sheffield, S14 1DF",S14 1DF,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
"383 Foxhill Road, Sheffield, S6 1BG",S6 1BG,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"383 Foxhill Road, Sheffield, S6 1BG",S6 1BG,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"383 Foxhill Road, Sheffield, S6 1BG",S6 1BG,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"49 Broadlands Ave, Sheffield, S20 6RL",S20 6RL,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"49 Broadlands Ave, Sheffield, S20 6RL",S20 6RL,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"51 Dowland Avenue, High Green, Sheffield, S35 4DE",S35 4DE,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
