Address,Post Codes,Property Type,Model,Managed by,Local Authority,Region,Count,Tenancy Type,Status
"35 Pole Lane, Darwen, BB3 3LD",BB3 3LD,Bungalow,Lease,Superior Landlord,Blackburn with Darwen,North West,1,Single,Active
"15 Oakfield Road, Blacon, Chester, CH1 5AG",CH1 5AG,Bungalow,Lease,Superior Landlord,Cheshire West and Chester,North West,1,Single,Active
"175 Stanney Lane, Ellesmere Port, Cheshire, CH65 9AN",CH65 9AN,House,Lease,Superior Landlord,Cheshire West and Chester,North West,1,Single,Active
"2 Redwood Drive, Ellesmere Port, Cheshire, CH66 2YA",CH66 2YA,Bungalow,Lease,Superior Landlord,Cheshire West and Chester,North West,1,Single,Active
"8 Milton Close, Prescot, Knowsley, L35 2YQ",L35 2YQ,House,Lease,Superior Landlord,Knowsley,North West,1,Single,Active
"Flat 1, 157 Harrison Road, Leicester (Shared), LE4 6NP",LE4 6NP,Flat,Lease,Superior Landlord,Leicester,Midlands,1,Shared,Active
"Flat 1, 157 Harrison Road, Leicester (Shared), LE4 6NP",LE4 6NP,Flat,Lease,Superior Landlord,Leicester,Midlands,1,Shared,Active
"Flat 3, 157 Harrison Road, Leicester, LE4 6NP",LE4 6NP,Flat,Lease,Superior Landlord,Leicester,Midlands,1,Single,Active
"Flat 4, 157 Harrison Road, Leicester, LE4 6NP",LE4 6NP,Flat,Lease,Superior Landlord,Leicester,Midlands,1,Single,Active
"Flat 5, 157 Harrison Road, Leicester, LE4 6NP",LE4 6NP,Flat,Lease,Superior Landlord,Leicester,Midlands,1,Single,Active
"Flat 6, 157 Harrison Road, Leicester, LE4 6NP",LE4 6NP,Flat,Lease,Superior Landlord,Leicester,Midlands,1,Single,Active
"Flat 7, 157 Harrison Road, Leicester, LE4 6NP",LE4 6NP,Flat,Lease,Superior Landlord,Leicester,Midlands,1,Single,Active
"Flat 8, 157 Harrison Road, Leicester, LE4 6NP",LE4 6NP,Flat,Lease,Superior Landlord,Leicester,Midlands,1,Single,Active
"Flat 9, 157 Harrison Road, Leicester, LE4 6NP",LE4 6NP,Flat,Lease,Superior Landlord,Leicester,Midlands,1,Single,Active
"146 Tavistock Road, Plymouth, PL6 5EJ",PL6 5EJ,Bungalow,Lease,Superior Landlord,Plymouth,South West,1,Single,Active
"5 Omerod Close, Stockport, SK6 3ED",SK6 3ED,Bungalow,Lease,Superior Landlord,Stockport,North West,1,Single,Active
"1 Garden Cottages, Little Paddocks, The Street, Little Clacton, Clacton-On-Sea, CO16 9LG",CO16 9LG,Bungalow,Lease,Superior Landlord,Tendring,South East,1,Single,Active
"2 Garden Cottages, Little Paddocks, The Street, Little Clacton, Clacton-On-Sea, CO16 9LG",CO16 9LG,Bungalow,Lease,Superior Landlord,Tendring,South East,1,Single,Active
"3 Garden Cottages, Little Paddocks, The Street, Little Clacton, Clacton-On-Sea, CO16 9LG",CO16 9LG,Bungalow,Lease,Superior Landlord,Tendring,South East,1,Single,Active
"32 Reddenhill Road, Torquay, TQ1 3RQ",TQ1 3RQ,House,Lease,Superior Landlord,Torbay,South West,1,Shared,Active
"32 Reddenhill Road, Torquay, TQ1 3RQ",TQ1 3RQ,House,Lease,Superior Landlord,Torbay,South West,1,Shared,Active
"32 Reddenhill Road, Torquay, TQ1 3RQ",TQ1 3RQ,House,Lease,Superior Landlord,Torbay,South West,1,Shared,Active
"32 Reddenhill Road, Torquay, TQ1 3RQ",TQ1 3RQ,House,Lease,Superior Landlord,Torbay,South West,1,Shared,Active
"32 Reddenhill Road, Torquay, TQ1 3RQ",TQ1 3RQ,House,Lease,Superior Landlord,Torbay,South West,1,Shared,Active
"20 Rowan Avenue, Beech Hill, WN6 7RS",WN6 7RS,Bungalow,Lease,Superior Landlord,Wigan,North West,1,Single,Active
"29 Cranberry Avenue, Wigan, WN6 7RR",WN6 7RR,Bungalow,Lease,Superior Landlord,Wigan,North West,1,Single,Active
"32 Elnup Avenue, Shevington, Wigan, WN6 8AT",WN6 8AT,Bungalow,Lease,Superior Landlord,Wigan,North West,1,Single,Active
"4 Arlington Drive, Wigan, WN7 3QN",WN7 3QN,Bungalow,Lease,Superior Landlord,Wigan,North West,1,Single,Active
"9 Amberley Close, Wigan, WN2 1AR",WN2 1AR,Bungalow,Lease,Superior Landlord,Wigan,North West,1,Single,Active
